Time,ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=OFFICE ENCLOSED <= 25 M2_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA MEDIUM TO BULKY PALLETIZED ITEMS_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ALL_ST=WAREHOUSE STORAGE AREA SMALL HAND-CARRIED ITEMS(4)_FL=BUILDING STORY 1_SCH=A:VICTORIA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.621492E+04,0.000000E+00,6.392150E-01,0.000000E+00,1.015804E+04,0.000000E+00,3.984285E-01,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.543071E+04,0.000000E+00,9.992113E-01,0.000000E+00,1.127472E+04,0.000000E+00,4.422090E-01,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.697245E+04,0.000000E+00,1.058015E+00,0.000000E+00,1.177588E+04,0.000000E+00,4.618568E-01,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.823636E+04,0.000000E+00,1.107570E+00,0.000000E+00,1.202565E+04,0.000000E+00,4.716527E-01,0.000000E+00
05:00:00,8.408619E+01,0.000000E+00,3.310849E-03,0.000000E+00,2.897727E+04,0.000000E+00,1.136599E+00,0.000000E+00,1.220754E+04,0.000000E+00,4.787679E-01,0.000000E+00
06:00:00,2.095945E+02,0.000000E+00,8.221797E-03,0.000000E+00,2.900775E+04,0.000000E+00,1.137789E+00,0.000000E+00,1.235402E+04,0.000000E+00,4.845120E-01,0.000000E+00
07:00:00,2.555989E+03,5.643923E+02,1.040098E-01,4.914646E-02,8.179593E+04,1.552503E+04,3.316223E+00,1.393961E+00,2.581954E+04,1.081941E+04,1.076187E+00,9.673119E-01
08:00:00,5.033953E+03,1.221962E+03,2.272348E-01,1.089766E-01,1.013571E+05,5.405406E+04,4.516205E+00,4.868941E+00,3.652014E+04,2.627387E+04,1.663217E+00,2.340700E+00
09:00:00,2.644822E+03,2.633468E+03,1.235066E-01,2.345709E-01,2.524472E+04,7.658553E+04,1.178843E+00,6.823075E+00,1.860964E+04,3.392776E+04,8.689436E-01,3.022230E+00
10:00:00,2.358373E+03,3.251132E+03,1.101291E-01,2.895981E-01,4.365096E+04,7.436786E+04,2.038324E+00,6.624475E+00,1.532580E+04,3.563680E+04,7.156118E-01,3.174386E+00
11:00:00,1.769445E+03,3.700931E+03,8.262966E-02,3.296836E-01,3.403750E+04,6.155236E+04,1.589343E+00,5.482752E+00,1.356536E+04,3.137774E+04,6.334168E-01,2.795050E+00
12:00:00,1.497403E+03,4.152694E+03,6.992786E-02,3.699578E-01,3.374709E+04,4.840146E+04,1.575816E+00,4.311288E+00,1.308085E+04,2.751870E+04,6.108023E-01,2.451337E+00
13:00:00,1.575721E+03,4.180316E+03,7.358679E-02,3.724419E-01,3.449902E+04,4.390700E+04,1.610931E+00,3.910927E+00,1.360248E+04,2.589488E+04,6.351587E-01,2.306712E+00
14:00:00,1.415770E+03,4.300213E+03,6.611860E-02,3.831257E-01,3.451488E+04,4.671500E+04,1.611670E+00,4.161045E+00,1.351510E+04,2.632646E+04,6.310728E-01,2.345178E+00
15:00:00,9.869316E+02,5.011151E+03,4.609122E-02,4.464473E-01,3.360810E+04,6.274432E+04,1.569327E+00,5.588839E+00,1.266426E+04,3.100692E+04,5.913358E-01,2.762081E+00
16:00:00,8.516230E+02,5.648509E+03,3.977132E-02,5.032147E-01,3.352258E+04,7.857615E+04,1.565335E+00,6.999086E+00,1.252006E+04,3.556194E+04,5.845982E-01,3.167816E+00
17:00:00,7.399266E+02,6.052791E+03,3.455500E-02,5.392396E-01,3.350150E+04,8.309919E+04,1.564351E+00,7.402026E+00,1.243096E+04,3.689885E+04,5.804393E-01,3.286975E+00
18:00:00,8.375940E+02,5.964700E+03,3.911624E-02,5.314061E-01,3.439581E+04,7.740024E+04,1.606111E+00,6.894400E+00,1.310801E+04,3.412130E+04,6.120580E-01,3.039586E+00
19:00:00,1.416770E+03,4.920087E+03,6.616532E-02,4.383395E-01,3.740089E+04,5.982135E+04,1.746431E+00,5.328541E+00,1.530927E+04,2.582899E+04,7.148433E-01,2.300871E+00
20:00:00,1.813767E+03,3.468778E+03,8.471023E-02,3.090229E-01,3.956867E+04,3.071102E+04,1.847643E+00,2.735531E+00,1.693996E+04,1.363836E+04,7.909712E-01,1.214880E+00
21:00:00,1.838949E+03,2.336652E+03,8.588818E-02,2.081482E-01,3.990867E+04,8.402215E+02,1.863510E+00,7.484010E-02,1.721371E+04,3.461247E+03,8.037323E-01,3.083073E-01
22:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
23:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.947994E+03,0.000000E+00,7.665416E-02,0.000000E+00
24:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999660E+03,0.000000E+00,7.918683E-02,0.000000E+00,7.544026E+03,0.000000E+00,2.962261E-01,0.000000E+00
Peak,5.033953E+03,6.052791E+03,2.272348E-01,5.392396E-01,1.013571E+05,8.309919E+04,4.516205E+00,7.402026E+00,3.652014E+04,3.689885E+04,1.663217E+00,3.286975E+00

Peak Vol Flow (m3/s),,,1.891217E-01,4.487952E-01,,,3.758721E+00,6.160516E+00,,,1.384252E+00,2.735665E+00
